Geneid,AK079M,AK083M,AK095M,AK096M
ENSG00000117408,359,629,874,720
ENSG00000132768,986,1217,1647,1991.83
ENSG00000117410,334,854,1021,589
ENSG00000117411,688,1347,1820,1515
ENSG00000159214,117,148,251,268
ENSG00000196517,77,334.5,674,323
ENSG00000171872,0,4,8,0
ENSG00000178028,146,373,656.5,334
ENSG00000117419,60,567,701,150
ENSG00000187147,295,911,1161,612
ENSG00000126106,18,91,146,39
ENSG00000198520,3,1,5,5
ENSG00000142945,206,1939,2299,564
ENSG00000142937,2401.5,13393.45,15448.56,5421.68
ENSG00000142959,5,2,6,6
ENSG00000173846,676,428,631,910
ENSG00000188396,29,6,14,19
ENSG00000222009,92,70,124,125
ENSG00000117425,3,27,20,7
ENSG00000070785,50,499.5,485,123
ENSG00000126107,338.5,661,1126,486
ENSG00000126088,147,644,1003,281
ENSG00000162415,11,27,51,19
ENSG00000186603,7,31,55,46
ENSG00000132781,168,318,462,312
ENSG00000132773,360,427,616,637.5
ENSG00000070759,0,5,13,0
ENSG00000132763,12,43,49,40
ENSG00000117450,1318.83,13033.67,14574.83,3658.5
ENSG00000117448,283,1280.67,1903,567
ENSG00000132780,495.5,2539,2488.67,901.17
ENSG00000159588,50,16,44,73
ENSG00000159592,427,1261,1605.5,1082
ENSG00000159596,129,231.5,268,250.5
ENSG00000197429,41,149,141,87
ENSG00000086015,389.38,1945.3,3189.31,1189.5
ENSG00000117461,13.5,17,17,23.5
ENSG00000278139,2.5,16,13,14.5
ENSG00000117472,0,14,22,6
ENSG00000250719,0,0,0,0
ENSG00000085998,449,1458,2032,747
ENSG00000171357,0,1,0,0
ENSG00000085999,76,364,515,181
ENSG00000132128,481,1325,1744,996
ENSG00000173660,194.67,1195.17,1330.48,488
ENSG00000117481,206,282,411,267
ENSG00000117480,0,12,16,4
ENSG00000197587,2,30,57,15
ENSG00000162456,0,0,0,0
ENSG00000079277,56,219,402,128
ENSG00000142961,53,73,105,123
ENSG00000123472,84,518,558.5,115
ENSG00000186118,2,0,4,0
ENSG00000159658,209.67,864.5,1047,333.5
ENSG00000142973,0,0,0,0
ENSG00000187048,0,0,0,0
ENSG00000186377,0,0,0,1
ENSG00000186160,0,0,0,0
ENSG00000162365,0,0,0,0
ENSG00000162366,13,49,78,37
ENSG00000162367,0,0,0,0
ENSG00000123473,165,996,1218,342
ENSG00000162368,108,1553.67,1977,251
ENSG00000186790,0,3,0,0
ENSG00000186564,24,30,49.5,72
ENSG00000269113,22,12,73,37
ENSG00000279096,0,0,0,0
ENSG00000117834,0,0,0,0
ENSG00000279214,0,0,0,0
ENSG00000132122,15,49,38,25
ENSG00000186094,0,0,0,1
ENSG00000162373,0,0,0,0
ENSG00000162374,0,0,0,0
ENSG00000142700,4,4,12,3
ENSG00000185104,64,1047.5,1134,122
ENSG00000123080,14,106,131,34
ENSG00000204006,0,0,0,0
ENSG00000123091,133,376.33,425,203
ENSG00000085831,1,22,36,10
ENSG00000085832,145,1148,1480,371
ENSG00000117859,148,1196,1184.33,200
ENSG00000078618,411,4113,4691,687
ENSG00000169213,35,165.5,392,77
ENSG00000117862,80,733,854,146
ENSG00000198841,653,376,542,1385
ENSG00000134717,106.13,280.17,288.17,161.67
ENSG00000157077,140,635,876.5,289
ENSG00000154222,573,944,1413.67,957
ENSG00000085840,95,1191.5,1111,264
ENSG00000134748,230.5,453,569.67,304
ENSG00000134744,379,1125,1326.4,607
ENSG00000116157,0,0,0,0
ENSG00000182183,0,0,0,0
ENSG00000162377,312,390,453,600
ENSG00000162378,69,370,433,141
ENSG00000203995,76,176,240,131
ENSG00000121310,19,55,79,16
ENSG00000116171,47,760,999,113
ENSG00000279054,0,0,0,0
ENSG00000174348,0,0,0,0
ENSG00000162383,1,0,0,0
ENSG00000157184,168,366,441,290
ENSG00000162384,136,295,341,139
ENSG00000162385,105,284.5,296,188
ENSG00000157193,167,2189,2450,490
ENSG00000143006,0,0,0,0
ENSG00000174332,0,1,2,0
ENSG00000058804,156,1331.17,1383,280
ENSG00000058799,16,176,172.33,24
ENSG00000211452,0,0,0,0
ENSG00000081870,31,342,292,85
ENSG00000116212,139,406,525,318
ENSG00000203985,0,0,0,0
ENSG00000116209,87,1001,1221,160
ENSG00000116205,12,42,96,36
ENSG00000157211,0,2,2,0
ENSG00000256407,4.5,16,27.5,9
ENSG00000215883,14.5,67,94.5,22
ENSG00000116221,307,2104.5,2883,636
ENSG00000157216,21,209.75,310.14,61.5
ENSG00000162390,5,71,104,32
ENSG00000162391,0,0,2,0
ENSG00000184313,0,0,0.5,0
ENSG00000271723,29.5,47.5,68.75,49.75
ENSG00000243725,301.5,565.5,659.75,555.25
ENSG00000162396,193,213,293,381
ENSG00000006555,1,0,0,0
