,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000279804,1,0,1,0,0,3,2,4,4,4,2,4,1
ENSG00000270601,0,0,0,0,0,0,0,0,1,1,1,0,0
ENSG00000182330,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000204501,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000204481,0,1,2,0,0,3,3,4,3,4,2,5,1
ENSG00000204480,1,0,1,0,0,3,2,4,4,3,2,4,1
ENSG00000204479,1,0,0,0,0,2,2,3,2,2,2,3,0
ENSG00000204478,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000162494,0,0,0,0,0,0,0,0,1,4,1,3,0
ENSG00000162493,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116731,49,72,96,46,10,154,179,216,283,571,560,554,102
ENSG00000189337,37,35,42,12,0,21,24,47,44,112,77,93,22
ENSG00000171729,179,217,260,84,8,289,414,410,491,1214,975,1018,288
ENSG00000204464,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000142621,7,4,6,6,0,5,7,17,20,26,15,12,3
ENSG00000142634,1388,2250,2744,480,21,1895,2001,2269,2124,4197,3091,3360,1678
ENSG00000162438,0,0,0,0,0,0,0,0,0,5,1,0,1
ENSG00000142615,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215704,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000132906,73,51,106,7,5,137,142,164,191,249,178,201,87
ENSG00000116138,99,78,122,45,6,260,311,318,352,881,762,854,170
ENSG00000116771,206,222,340,35,9,232,274,287,310,378,367,366,198
ENSG00000197312,104,98,134,38,5,347,228,256,269,518,604,668,117
ENSG00000215695,1,2,2,14,0,1,1,3,2,28,31,40,1
ENSG00000116786,120,150,187,85,16,162,192,185,185,689,408,438,140
ENSG00000162461,0,0,0,0,0,0,0,1,0,2,0,0,0
ENSG00000162460,0,0,0,0,0,0,0,0,1,2,0,0,1
ENSG00000162458,139,125,164,31,4,157,145,167,206,267,246,204,145
ENSG00000233954,726,1141,1176,356,15,917,852,1204,1078,2246,1451,1775,458
ENSG00000065526,110,124,219,169,24,517,517,694,708,1170,1182,2306,357
ENSG00000116809,35,43,78,39,6,87,80,107,106,396,256,238,67
ENSG00000183888,0,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000173641,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000186510,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000184908,0,0,1,0,0,1,1,0,0,1,0,1,0
ENSG00000185519,64,50,72,13,0,37,34,50,48,121,77,68,28
ENSG00000142627,950,639,876,652,92,1802,1860,2240,3058,10507,7318,8213,1695
ENSG00000142632,29,47,58,48,6,35,47,59,54,194,124,127,48
ENSG00000132881,15,11,19,4,0,11,13,10,24,62,34,29,8
ENSG00000037637,107,79,128,57,8,159,167,171,194,480,423,507,103
ENSG00000055070,373,372,423,192,10,388,413,470,502,1500,1018,1135,256
ENSG00000187144,1,0,1,1,0,0,0,1,0,3,1,1,0
ENSG00000157191,186,169,329,51,15,332,327,385,402,526,528,518,178
ENSG00000268991,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219481,12,17,18,10,3,40,40,40,36,79,76,69,23
ENSG00000237847,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279132,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000058453,27,48,57,22,4,55,58,76,72,244,164,127,51
ENSG00000117122,0,2,4,2,0,1,0,0,2,2,2,0,4
ENSG00000159363,218,200,283,57,5,236,275,285,295,454,423,336,227
ENSG00000117118,854,771,1141,212,23,1517,1378,1412,1540,1851,1848,1902,610
ENSG00000117115,31,19,32,4,0,93,70,84,78,82,95,104,33
