Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000215251,143,177.5,333.5,164.25,11,945,694,897,863,1536.5,1586,1919.5,281,1288.5,413,1110,559,726,741,164,198,563.5,777
ENSG00000088899,14,20,25,8,0,11,11,23,12,54,39.5,28.12,17,33.5,17,23,6,46,26,4.62,6,17,21
ENSG00000198171,656,499,772,161,25.5,1152,1083,1214,1131.5,2476.5,2245.5,2442,533.33,2297,699,1388,485,2380,1408,179,477,1220,1252
ENSG00000125877,713,693,974,234,18,1382,1212,1398,1526,2232.5,2145,2032,754.5,2347,687,1607.25,548,4067,1737,192,643,1553.5,1999.33
ENSG00000088836,42,27,39.5,11,2,85,79,79,76,230,169,130,50,214,56,143,43,181,78.17,19,40,109,132.33
ENSG00000088854,20,28,39,36,2.2,78.5,65,74,87,183.77,162,142,64,122,44,110,37,75.2,61.33,25.08,23.4,49,138.37
ENSG00000088812,925,732.75,958,303,21,1628.5,1840.75,1948.58,2135,3771.15,3395.25,2834.43,973.33,3502.33,678.25,2015,538.5,3283.57,1090,141.83,582.57,1203.25,1646
ENSG00000125861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149451,0,0,0,1,0,0,0,0,0,0,1.33,6.04,0,0,1,0,1,1,1.5,2.33,1,1,1
ENSG00000088827,0,0.5,0,0,4,1,0.33,0,0,3,0,0,0,0,0.67,0,1,1,0.4,7.2,2,2.2,0.7
ENSG00000132622,6,10,15,7,0,2,10,10,16,30,23,24,6,16.25,7,8,6,18,9,1,6,13,8.33
ENSG00000101220,957,834.5,1157,314.67,14,713,615.5,722.5,705,1866.83,1195.67,1453.14,549.5,1713.33,644,866.5,249.5,3243,1178,142.5,637.5,1330,1119.5
ENSG00000101222,5,2,6,0,0,4,2,0,2,25,5,5,5,7,6,3,1,10,1,2,1,2,5
ENSG00000125817,630.7,591.12,942.27,283.2,42.07,627.65,634.49,629.67,673.24,2107.72,1355.93,1907.58,460.31,1219.22,629,707.08,330,2346.54,1383.7,264.5,412,998.02,806.67
ENSG00000101224,1439.33,1260,1853,380,63,2634.5,2146,2528.5,2519,4484,4398,3844,1015,4636,1138,2816,886,8569,3116,441,1674,4007.5,3944.2
ENSG00000125843,197,145,248,60,0,189,164,222.5,209,560,409,519,130,478,209,249,101,990,524,70,170,424,356
ENSG00000088888,367,445,611,107,14,706,629,859.5,728,1166,1090,1034,369,1536,421,709,242,1940.58,788,84,427,992.33,833
ENSG00000125779,267,264,343.5,172,33.5,496,386,501.53,536.7,1271,961.5,1033,248.5,762.5,255,559.5,194,1075,563,146.33,216.5,389.5,635.5
ENSG00000101236,107.14,60.25,103.34,43.41,2,94.13,120.58,98.01,155.24,313.74,210.81,310.73,117.34,160.51,102.54,176.73,70,303.67,210.72,38.77,45.2,96.1,253.21
ENSG00000088826,763.17,716,907,504.25,89,1007,746,1061,1452,5031.67,2983.5,3095.17,1407.62,1880,941,1458.12,904,3069.5,2143,645.62,538,1195,3050.83
ENSG00000171873,58,64,88.12,18,1,104,130.5,166,171,438,322,223.08,88,210,102,144,63,416.5,253,61,68,115,167
ENSG00000171867,1696,1494,2105,331,24,2638.5,2828,2864,3116.5,4577,3950.5,4178.5,1435.5,5307,1148,3634,1078,7924,3277.92,338,1378.5,3328.5,3786
ENSG00000171864,0,0,0,0,0,0,1,0,0,2,0.5,0,0,0,0,0,1,0,0,0,0,0.5,1
ENSG00000180259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101265,132,155,226,37,1,240,272,295,345,314,250,297,149,587,85,265,55,663.5,184,22,125,274,402
ENSG00000089057,367.58,229.25,366.17,106.33,11,839,631,724,802,2023,1735.33,1360,282,1333,337,1122,362,1727,894,94.5,235,518,768.5
ENSG00000089063,709.85,625.53,796.49,241.67,17.5,624.55,615.44,599.3,674.02,1535.9,1118.72,1084.1,407.46,1088.87,386,812.17,196.5,3784.28,1010.94,130.67,524.62,1039.53,1088.74
ENSG00000132646,2768.58,2787,4296.83,804,75,7823.17,7051.33,8617,8204,9458.92,9859.33,9574.92,2464.67,12857.5,2900,11923.67,3831.33,15135.83,7189.17,650.5,2917.83,6716.17,9242.75
ENSG00000101290,1031,756,1060,269,12,989,1160.5,1306,1277.5,3417.5,2386,2155,630,2417.5,624,1530,464,3742,1300,189,698,1385,1565
ENSG00000101292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000125772,63.5,39.5,57.5,67.5,13.5,212.33,148.5,180.17,235.5,471,408.29,413.83,71,262,85.17,417.17,176,572.67,362.5,128.33,53.5,140,406.83
ENSG00000171984,56.5,42.5,57.05,13,0,70,75,87,85,207.5,137,119,46,102,47,95,39,306,130.67,22,39.62,101,163.04
